__FALSE__2 , 	If theres a government shutdown, people dont get their Social Security checks.	federal-budget,social-security	barack-obama	President	Illinois	democrat	a press conference
__half-true__3 , 	Says his promise of 250,000 new private sector jobs was a big goal.	economy,jobs	scott-walker	Milwaukee County Executive	Wisconsin	republican	a campaign TV ad
__half-true__3 , 	Ninety percent of people living in Gaza dont have access even to water.	foreign-policy,israel,water	rula-jebreal			none	comments on MSNBC
__half-true__3 , 	The Seattle Times called Patty Murray a prolific sponsor of earmarks. Patty even defended the Bridge to Nowhere.	federal-budget,message-machine	dino-rossi		Washington	republican	a campaign ad
__half-true__3 , 	Theres going to be a slowdown and delays in flights as a result of the sequester.	federal-budget,transportation	raymond-lahood	Secretary, U.S. Department of Transportation	Illinois	republican	an interview on MSNBC
__half-true__3 , 	There are more members of the U.S. Senate than the number of WI families who would benefit from GOP estate tax break.	taxes	tammy-baldwin	U.S. Representative	Wisconsin	democrat	a tweet
__half-true__3 , 	New Jersey has the second highest rate of institutionalization of people with developmental disabilities in America. Only Texas puts more of its citizens -- confines more of its citizens -- to institutions than New Jersey.	disability,health-care	chris-christie	Governor of New Jersey	New Jersey	republican	his budget speech
__half-true__3 , 	Russia and China absolutely said clearly they would not keep economic sanctions on Iran if the United States walked away from the deal.	nuclear	bill-oreilly	Fox News Channel host		none	an interview on "The O'Reilly Factor"
__half-true__3 , 	Says Mitt Romneys plan rolls back regulations on banks.	financial-regulation,message-machine-2012	barack-obama	President	Illinois	democrat	a television ad
__half-true__3 , 	Says 93 percent of blacks in America are killed by other blacks.	crime	rudy-giuliani	Attorney	New York	republican	an interview on NBC's "Meet the Press"
__half-true__3 , 	Says U.S. Senate candidate Tammy Baldwin proposed a $3.9 trillion tax increase -- a tax increase so extreme that even Nancy Pelosi voted against it.	federal-budget,message-machine-2012,taxes,voting-record	national-republican-senatorial-committee			republican	a TV ad
__half-true__3 , 	The president said he was going to create daylight between ourselves and Israel.	debates,israel	mitt-romney	Former governor	Massachusetts	republican	a presidential debate
__half-true__3 , 	In April, Sen. McCain came out against helping women earn equal pay for equal work.	legal-issues	barack-obama	President	Illinois	democrat	a TV ad
__half-true__3 , 	Austin is the biggest city in America with a Tier One research university (UT-Austin) but without a medical school.	education	austin-fund-quality-healthcare	Group	Texas	none	
__half-true__3 , 	Mt. Hood Community College is No. 1 on average and top faculty pay and benefits.	education,income	mt-hood-community-college	community college	Oregon	none	the college's website
__half-true__3 , 	Says 600,000 to 700,000 government workers have been laid off in the last year and a half	jobs	bill-pascrell	U.S. House of Representatives	New Jersey	democrat	interview on WNYCs The Brian Lehrer Show
__half-true__3 , 	Today, the deficit is below the average deficits over the past 40 years.	deficit	barack-obama	President	Illinois	democrat	a press conference
__half-true__3 , 	Says Republicans have declared that theyre going to convert the Medicare program into a voucher program.	federal-budget,health-care,medicare	upendra-chivukula	State Assemblyman	New Jersey	democrat	an interview on NJToday
__half-true__3 , 	Says U.S.-Mexico border has 1 million legal border crossings each and every day.	immigration	donald-trump	President-Elect	New York	republican	a press conference in Mexico
__half-true__3 , 	Given the results of the primary, the vote of one New Hampshire superdelegate is equal to the votes of about 10,000 grassroots activists.	elections	new-hampshire-republican-party		New Hampshire	republican	an online petition
__half-true__3 , 	TriMet is spending 4.2 million in fed funds to save $168K per year.	government-efficiency,stimulus,transportation	lars-larson	radio talk show host	Oregon	none	Twitter
__half-true__3 , 	Peachtree and Pine is one of the leading sites for tuberculosis in the nation.	public-health	kasim-reed			democrat	a speech at the Commerce Club
__half-true__3 , 	(McCain) was opposed to ethanol. Now he's for it.	energy	mitt-romney	Former governor	Massachusetts	republican	Stratham, N.H.
__half-true__3 , 	This is the most generous country in the world when it comes to immigration. There are a million people a year who legally immigrate to the United States.	immigration	marco-rubio	U.S. Senator	Florida	republican	comments at a GOP debate in Cleveland
__half-true__3 , 	Large phone companies and their trade association have hired 35 registered lobbyists to influence and pass SB 271 (deregulation legislation).	government-regulation	AARP			none	a news release
__half-true__3 , 	Since I took office, weve created 76,800 jobs.	jobs	rick-scott	Governor	Florida	republican	a statement
__half-true__3 , 	We have 33,000 people a year who die from guns.	crime,guns,public-safety	hillary-clinton	Presidential candidate	New York	democrat	the third 2016 presidential debate
__half-true__3 , 	Even members of the NRA, when they were polled recently, were under the impression that everyone has a criminal background check.	civil-rights,crime,guns	jackie-speier	Congressional representative for California's 14th District	California	democrat	an MSNBC interview
__half-true__3 , 	It (Georgia) was one of the earliest Christian nations. The king of then-Georgia in the third century converted to Christianity.	religion	john-mccain	U.S. senator	Arizona	republican	Saddleback Valley Community Church in Orange County, Calif.
__half-true__3 , 	More than half of our unemployed Ohioans have been out of work for six months or more.	economy	rob-portman	U.S. senator from Ohio	Ohio	republican	a radio interview
__half-true__3 , 	Theres not a single, solitary example that signing the bill to end Glass-Steagall had anything to do with the financial crash.	economy,financial-regulation	bill-clinton	former president	Arkansas	democrat	an interview with Inc. magazine
__half-true__3 , 	Says U.S. Senate opponent Ron Johnson is opposed to all government-assisted student loans.	debt,education,federal-budget,financial-regulation	russ-feingold		Wisconsin	democrat	a speech
__half-true__3 , 	Wisconsin Republicans repealed a statewide fair pay law that made sure women are treated fairly on the job.	civil-rights,government-regulation,income,women,workers	barack-obama	President	Illinois	democrat	a speech
__half-true__3 , 	Under a proposed Georgia law, women who miscarry could become felons.	abortion	liberal-blogger			none	a blog post
__half-true__3 , 	Georgia has some of the highest gas taxes in the Southeast but one of the lowest taxes on gasoline for transportation in the nation.	gas-prices,taxes	ed-lindsey	State Representative	Georgia	republican	an Atlanta Journal-Constitution story
__half-true__3 , 	(Paul Ryan) has actually proposed three total, three bills that have become law in his entire career dating back to 1999.	candidates-biography	david-canon	Chair of the political science department at the University of Wisconsin-Madison.	Wisconsin	newsmaker	a New York Times article
__half-true__3 , 	McCain used to buck his party on immigration by fighting for comprehensive reform. . . . But when he was running for his party's nomination, he . . . said that he wouldn't even support his own legislation if it came up for a vote.	immigration	barack-obama	President	Illinois	democrat	a speech in Washington, D.C.
__half-true__3 , 	The FBI is involved in an investigation about people in the Rio Grande Valley who are using cocaine to buy votes.	crime,drugs,elections	greg-abbott	governor	Texas	republican	a debate in the Rio Grande Valley.
__half-true__3 , 	Says Marco Rubio wrote and passed bipartisan legislation allowing the VA to fire negligent workers.	veterans	marco-rubio	U.S. Senator	Florida	republican	a campaign ad
__half-true__3 , 	In Florida, the number of voters who now register as other has grown by a million in the last 10 years. Compare that with the Democrats, who only grew by 300,000 and the Republicans who grew by just 200,000.	elections	chuck-todd	MSNBC political reporter		none	comments on NBC's "Meet the Press"
__half-true__3 , 	A clear majority of Americans support removing the cost-sharing requirement for prescription contraceptive coverage.	health-care,women	rush-holt			democrat	an e-mail newsletter
__half-true__3 , 	Before taking executive action on immigration, President Obama stated 22 times that he does not have the authority to change immigration laws on his own.	immigration	bob-goodlatte	U.S. Congressman	Virginia	republican	a website post.
__half-true__3 , 	Says excise taxes are...disproportionately burdening middle- and lower-income consumers.	taxes	david-sutton	Altria spokesman		none	an interview
__half-true__3 , 	In order to pass the CRCT in Georgia, you simply have to get half of the answers correct.	education	alisha-thomas-morgan		Georgia	democrat	a speech
__half-true__3 , 	At Twin River, were more than competitive with nearby casinos in slot machine payouts.	economy,gambling	patti-doyle	Public relations	Rhode Island	organization	a radio interview
__half-true__3 , 	Understand, this is unemployment insurance. Its not welfare, as a lot of my Republican colleagues like to suggest it is. You pay into it when youre working. You get help when youre not.	deficit,economy,federal-budget,jobs	sherrod-brown	U.S. Senator	Ohio	democrat	an MSNBC interview 
__half-true__3 , 	The average 401(k) in America of a person whos 60 years old is under $100,000.	economy,labor,retirement,state-finances	gina-raimondo	venture capital company founder	Rhode Island	democrat	an appearance on 10 News Conference
__half-true__3 , 	November 2012 was a record year of turnout. More people voted before Election Day using absentee ballots and voting early than ever before in our history.	elections	ken-detzner	Secretary of State	Florida	republican	a CNN interview
__half-true__3 , 	If you are born poor in America, we rank ninth or tenth in our citizens ability to climb up through that ladder and get themselves into the middle class.	economy,education,income	tim-ryan	U.S. representative 	Ohio	democrat	a House of Representatives floor speech
__half-true__3 , 	By the time Obama took office, The Bush administration had given the car companies $13 billion and the money was now gone.	economy,message-machine-2012	barack-obama	President	Illinois	democrat	a campaign video
__half-true__3 , 	Says by reducing chronic health care costs in the State of Georgia, we can reduce the $32.8 billion lost each year due to lack of productivity and economic costs.	economy,health-care	hank-johnson	U.S. Congressman	Georgia	democrat	a letter
__half-true__3 , 	President Obama has declared disasters in 48 of 50 states this year.	homeland-security	harry-reid	Senate Democratic Leader	Nevada	democrat	a speech on the Senate floor
__half-true__3 , 	Our children's safety is potentially at risk because nearly half of the apple juice consumed by our children comes from apples grown in China.	consumer-safety	john-edwards	former senator	North Carolina	democrat	a speech in Manchester, N.H.
__half-true__3 , 	If public employees dont pay more for benefits starting April 1, 2011, the equivalent is 1,500 state employee layoffs by June 30, 2011 and 10,000 to 12,000 state and local government employee layoffs in the next two years.	labor,state-budget	scott-walker	Milwaukee County Executive	Wisconsin	republican	a news conference
__half-true__3 , 	The Interior Department is in charge of salmon while theyre in fresh water, but the Commerce Department handles them when theyre in saltwater.	environment,government-efficiency,water	barack-obama	President	Illinois	democrat	the State of the Union speech
__half-true__3 , 	You cannot get (Ebola) from just riding on a plane or bus.	ebola,public-health,transportation	barack-obama	President	Illinois	democrat	the president's weekly national address
__half-true__3 , 	President Barack Obama has deported more people in his first year in office than George W. Bush in his last year in office.	immigration,legal-issues,abc-news-week	jorge-ramos	News anchor for Univision	Florida	journalist	an interview on ABC's 'This Week'
__half-true__3 , 	Weve seen our deficits cut by two-thirds.	deficit	barack-obama	President	Illinois	democrat	his 2015 State of the Union address
__half-true__3 , 	Says Patrick Murphy is one of only three Democrats in the House today who voted to create the Benghazi committee.	candidates-biography,congress,voting-record	alan-grayson	U.S. House of Representatives	Florida	democrat	a fundraising email
__half-true__3 , 	Says Patrick Murphy embellished, according to reports, his University of Miami academic achievement.	candidates-biography	marco-rubio	U.S. Senator	Florida	republican	a TV ad
__half-true__3 , 	On average, Americans spend less than 10 percent of their disposable income on food. Compare that to folks in Mexico, who spend 22 percent, China, 28 percent and Russia, 37 percent.	agriculture,china,economy	todd-staples	state agriculture commissioner	Texas	republican	an op-ed
__half-true__3 , 	We lock up close to 2.4 million people in this country. Were locking up more people than China and Russia.	china,crime,criminal-justice	joe-donald			none	an interview
__half-true__3 , 	We have created new jobs here in Cranston -- more than 1,000.	city-government,corporations,economy,government-regulation,job-accomplishments,jobs,market-regulation,small-business,workers	allan-fung	mayor, city of Cranston, R.I.	Rhode Island	republican	a campaign speech
__half-true__3 , 	Rhode Islands state pension system underperformed the median three out of the four years that Mr. [Frank] Caprio was in office.	candidates-biography,economy,pensions,retirement,workers	seth-magaziner	investment advisor	Rhode Island	democrat	a debate on WPRI-TV
__half-true__3 , 	Says Hillary Clinton supported and continues to support fracking.	environment	bernie-s	U.S. Senator	Vermont	independent	in an interview on NBC's Meet the Press
__half-true__3 , 	North Carolinas coast is possibly the best place in (the) U.S. for an offshore windfarm.	climate-change,energy,environment,states,weather	duane-hall	N.C. House of Representatives member	North Carolina	democrat	a tweet
__half-true__3 , 	Says Paul Ryans budget would turn Medicare into a voucher.	medicare	robert-menendez	U.S. Senator	New Jersey	democrat	a debate on NJTV
__half-true__3 , 	Many states without collective bargaining, such as Arizona, Nevada and North Carolina, have far larger budget deficits than many that do, including Ohio.	labor,state-budget	david-pepper	Hamilton County Commissioner	Ohio	democrat	an Ohio House committee hearing
__half-true__3 , 	A Republican bill that would change John Doe criminal investigations is creating exceptions in the law for politicians.	campaign-finance,crime,criminal-justice,elections,ethics,legal-issues	chris-danou			democrat	remarks in Assembly debate
__half-true__3 , 	By the end of 2015, more than 1,300 people will have died on Georgia roads. One of out evey four fatalities resulted from drunken driving.	Alcohol,crime,public-safety,states,transportation	state-public-service-announcement	promoting safe driving	Georgia	none	
__half-true__3 , 	A new presidential helicopter is now going to cost as much as Air Force One.	federal-budget	john-mccain	U.S. senator	Arizona	republican	a White House forum on fiscal responsibility.
__half-true__3 , 	You see 34 people (are) murdered every single day by gunfire in America.	crime,guns	cory-booker	U.S. senator	New Jersey	democrat	a roundtable discussion on ABCs "This Week with George Stephanopoulos"
__half-true__3 , 	Georgia has one of the nations highest jet fuel taxes.	state-budget,state-finances,transportation	trebor-banstetter	Delta spokesman	Georgia	none	a newspaper article
__half-true__3 , 	In 2015 roughly 10,000 political arrests occurred in Cuba. That is five times as many as occurred in 2010, when there were only about 2,000.	foreign-policy,human-rights,legal-issues	ted-cruz	Senator	Texas	republican	an interview on ABC's This Week
__half-true__3 , 	Obama's proposed budget doubles the debt in five years, triples it in 10 years.	federal-budget	judd-gregg	U.S. Senator		republican	in a Fox News interview.
__half-true__3 , 	Every day, 34 Americans are murdered with guns.	crime,criminal-justice,government-regulation,guns	pardeep-kaleka			activist	an online video
__half-true__3 , 	Says John Kerry is the first secretary of state to rely primarily on a government account.	foreign-policy,technology	hillary-clinton	Presidential candidate	New York	democrat	a House hearing on Benghazi
__half-true__3 , 	One thing that is much more unpopular than the Affordable Care Act is repealing the Affordable Care Act.	congress,health-care,polls	democratic-national-committee			none	an interview on CNN's "State of the Union."
__half-true__3 , 	The CIA paid two psychologists $81 million to develop and run their torture program.	afghanistan,human-rights,iraq,terrorism	doonesbury			none	the Sunday comics
__half-true__3 , 	[N]early one in three primary care doctors are forced to limit the number of Medicare patients they see.	health-care	tom-price	Congressman	Georgia	republican	Op-Ed
__half-true__3 , 	Human trafficking is the third-biggest criminal enterprise in the world.	crime,human-rights	amy-klobuchar	U.S. senator	Minnesota	democrat	a speech at the Democratic National Convention
__half-true__3 , 	Tax increases could come into play as a result of the debt ceiling deal.	federal-budget,taxes	phil-gingrey	U.S. Congressman	Georgia	republican	a press release
__half-true__3 , 	Says President Barack Obama said that if he doesnt turn the economy around after three years in office, hell be a one-term president.	economy	michele-bachmann	Congresswoman	Minnesota	republican	several speeches and interviews
__half-true__3 , 	Republican state lawmakers are refusing to give the people of their own states their own tax dollars back in the form of (expanded) Medicaid.	health-care,taxes	thom-hartmann	Radio/TV host		none	a broadcast of "The Big Picture"
__half-true__3 , 	California has more kids in poverty ... than virtually any other state.	children,poverty	common-sense-kids-action			none	a press release
__half-true__3 , 	The R.I. Turnpike and Bridge Authority was supposed to exist only until the bonds used to build the Newport Bridge were paid off through tolls. Once the bonds were paid, the Newport Bridge was to be transferred to the State of Rhode Island and become toll-free.	history,infrastructure,legal-issues,transportation	steven-frias	lawyer	Rhode Island	republican	a Providence Journal commentary
__half-true__3 , 	Because of the Trans-Pacific Partnership weve got a country like Malaysia taking really serious efforts to crack down on human trafficking.	human-rights,trade	barack-obama	President	Illinois	democrat	at the White House
__half-true__3 , 	Mitt Romney says the next president doesn't need foreign policy experience.	foreign-policy	john-mccain	U.S. senator	Arizona	republican	a Web ad
__half-true__3 , 	The GOP health care plan "would allow health insurance companies to continue engaging in unfair and discriminatory practices like denying coverage to people because of a pre-existing medical condition."	health-care	debbie-wasserman-schultz	U.S. Representative, Florida District 23	Florida	democrat	a press release
__half-true__3 , 	Says we brought crime rate down by 30 percent when he was mayor of Dallas.	city-budget,crime,federal-budget	tom-leppert	Businessman	Texas	republican	a U.S. Senate debate hosted by Empower Texans and the Texas Public Policy Foundation
__half-true__3 , 	I have never supported cap and trade.	candidates-biography,cap-and-trade,florida	marco-rubio	U.S. Senator	Florida	republican	a Republican debate in Iowa on Fox News
__half-true__3 , 	30,000 Arizonans may have no choice on Affordable Care Act coverage.	health-care	john-mccain	U.S. senator	Arizona	republican	a campaign advertisement
__half-true__3 , 	Says Virginia House Republicans are sacrificing $5 million a day in U.S. funds by refusing to expand Medicaid.	federal-budget,medicaid	democratic-party-virginia		Virginia	democrat	a tweet.
__half-true__3 , 	Ohios lost more jobs in March than any other state in the nation.	economy,jobs	mike-foley	State representative	Ohio	democrat	news release
__half-true__3 , 	Say Portland Public Schools central administration makes up less than 4 percent of the staff.	education	portland-public-schools	School district	Oregon	none	a guest column
__half-true__3 , 	If President Barack Obama strikes a nuclear deal with Iran, the next president could revoke such an executive agreement with the stroke of a pen and future Congresses could modify the terms of the agreement at any time.	foreign-policy,legal-issues	tom-cotton	U.S. House of Representatives	Arkansas	republican	a letter to Iranian leaders
__half-true__3 , 	Theres just one piece of legislation that is now law with Sen. Ted Cruzsname on it.	candidates-biography	dana-bash	CNN host		none	comments on CNN's "State of the Union"
__half-true__3 , 	Says under the Senate immigration bill, newly legalized immigrants will pay every tax possible, but you dont get a single benefit for 10 years.	immigration,welfare	luis-gutierrez	U.S. House of Representatives	Illinois	democrat	an interview with CNN
__half-true__3 , 	A record number of Hispanics were elected to the U.S House of Representatives...	diversity,elections	jeb-bush		Florida	republican	an opinion article in the 'Miami Herald'
__half-true__3 , 	Weve got 40 years of study now that show that, with a good preschool start, youre less likely to be on public dole, youre less likely to be in prison.	children,crime,education,welfare	ken-plum	State delegate	Virginia	democrat	
__half-true__3 , 	Numbers on illegal immigrants "are down in terms of apprehensions, which indicates fewer illegal crossings, but also up in terms of actual enforcement actions."	homeland-security,immigration,abc-news-week	janet-napolitano	Secretary of Homeland Security 		democrat	an interview on ABC's 'This Week'
__half-true__3 , 	Obama "wants a windfall profits tax on oil to go along with the new taxes he also plans for coal and natural gas."	energy	john-mccain	U.S. senator	Arizona	republican	a speech on energy in Houston
__half-true__3 , 	Says Hillary Clinton wants sanctuary cities.	crime,immigration	donald-trump	President-Elect	New York	republican	a speech at the Republican convention
__half-true__3 , 	Health reform eliminates co-pays, deductibles, and other costs for preventative care and provides for free annual wellness checkups starting next year.	health-care	jane-kidd			democrat	an op-ed. 
__half-true__3 , 	Says Rick Scott cut education by $1.3 billion in his first year, then in his second year he decreases funding by $300 million to our state universities.	education,state-budget,stimulus	charlie-crist		Florida	democrat	an interview on MSNBC
__half-true__3 , 	Says he invested over $100 million in worker training.	education,job-accomplishments,jobs,state-budget	scott-walker	Milwaukee County Executive	Wisconsin	republican	a TV ad
__half-true__3 , 	Says Jennifer Horn, chairwoman of the N.H. Republican Party, owes $92,000 in back taxes.	taxes	new-hampshire-democratic-party		New Hampshire	democrat	a written statement
__half-true__3 , 	Barack Obamas health care bill is nothing new. Mitt Romney signed one just like it four years before.	health-care	howard-dean	Democratic National Committee chairman	Vermont	democrat	a KLRU interview
__half-true__3 , 	Art Robinson says Social Security should be ended through attrition.	social-security	peter-defazio	U.S. representative	Oregon	democrat	
__half-true__3 , 	Tide gauges measuring sea level in Rhode Island since 1930 have risen maybe about 10 inches since that time.	climate-change,environment,science	janet-freedman	geologist	Rhode Island	state-official	an interview on 10 News Conference
__half-true__3 , 	$360 million of our tax dollars went straight to ... the Taliban.	afghanistan,government-efficiency,iraq,military	alan-grayson	U.S. House of Representatives	Florida	democrat	an e-mail to supporters about his opposition to the Iraq and Afghanistan wars
__half-true__3 , 	When I started in Ohio it was terrible. Now, were getting bipartisan support for our bills. And thats called leadership.	bipartisanship	john-kasich	Governor of Ohio as of Jan. 10, 2011	Ohio	republican	an appearance on NBC's "Meet the Press."
__half-true__3 , 	As a Congressman, J.D. Hayworth was an avid earmarker who supported such pork as $220,000 to renovate a Maine Blueberry farm and $5.8 million for a Vermont snowmobile trail.	federal-budget,message-machine	john-mccain	U.S. senator	Arizona	republican	a political ad
__half-true__3 , 	Says cities save an estimated $38 in dental costs for every $1 invested in fluoridation.	city-government	nick-fish	Portland City Commissioner	Oregon	none	a statement.
__half-true__3 , 	Gov. (Rick) Perry helped balance his budget with about $6 billion worth of federal help, which he happily took, and then started blaming the members of Congress who had offered that help.	state-budget,stimulus	barack-obama	President	Illinois	democrat	an interview
__half-true__3 , 	Amendment 2 on medical marijuana won a higher percentage of the vote than the last six Florida governors, including Jeb Bushs 2002 landslide.	florida-amendments	united-care			organization	a tweet
__half-true__3 , 	The Buffett rule raises virtually no money, maybe a day and a half of our borrowing per year.	deficit,economy,federal-budget,taxes	barry-hinckley		Rhode Island	republican	a campaign event.
__half-true__3 , 	The Providence Economic Development Partnership . . .which you [Cicilline] chaired, loaned $103,000 in taxpayer funds to one of your campaign workers. The worker never paid back the loan.	city-government,corporations,corrections-and-updates,legal-issues	brendan-doherty		Rhode Island	republican	in a news conference
__half-true__3 , 	Were paying out-of-state residential facilities hundreds of thousands of dollars, if not more, to house children in state custody	children,families,state-budget	roberto-dasilva	Police officer	Rhode Island	democrat	a news release
__half-true__3 , 	Superdelegates have never been a determining factor in who our nominee is since theyve been in place since 1984.	elections	debbie-wasserman-schultz	U.S. Representative, Florida District 23	Florida	democrat	an interview on Fox Business News
__half-true__3 , 	Says the Republican state convention is actually larger than the Republican National Convention.	bipartisanship,economy,message-machine	david-dewhurst	Lieutenant governor	Texas	republican	a campaign video
__half-true__3 , 	There are 500 million Internet users and 80 million bloggers who are driving discussions in China. So youve got a lot of people voicing frustration and discontent.	china,foreign-policy,new-hampshire-2012	jon-huntsman		Utah	republican	a campaign appearance in Milford, N.H.
__half-true__3 , 	My son had to resign his job because of federal regulations that Washington has put on us.	candidates-biography,pensions	anita-perry	First Lady of Texas	Texas	republican	a campaign stop.
__half-true__3 , 	Illegal tobacco sales, price driven too high, has been connected to at least several cases of funding terrorism against us in multi-year investigations over the last decade and a half.	taxes,terrorism	rick-saccone		Pennsylvania	republican	floor remarks during a House session
__half-true__3 , 	A Wisconsin bill to limit use of food stamps for junk food would also prevent -- or limit -- the extent to which food stamps could be used for organic foods.	federal-budget,poverty,states,welfare	fred-clark	State Assembly member, 42nd District	Wisconsin	democrat	a legislative meeting
__half-true__3 , 	Says George LeMieux falsely attacked Marco Rubio.	candidates-biography	adam-hasner		Florida	republican	an Internet ad
__half-true__3 , 	There are fewer people crossing (the southwest) border than in the last 30 years.	immigration	luis-gutierrez	U.S. House of Representatives	Illinois	democrat	an interview on Fox News' "The O'Reilly Factor"
__half-true__3 , 	Obama has maintained a friendship with a now convicted felon.	ethics	republican-national-committee-republican			republican	a news release
__half-true__3 , 	The Obama administration originally wanted 10,000 troops to remain in Iraq -- not combat troops, but military advisers, special operations forces, to watch the counterterrorism effort.	iraq	martha-raddatz	ABC News		journalist	comments on ABC's "This Week"
__half-true__3 , 	Floridas proposed amendment for medical marijuana would allow people who alleged minor ailments such as muscle spasms, neck pain, back pain and even menstrual cramps (to qualify) for government-sanctioned pot-smoking.	drugs,health-care,marijuana	grady-judd	Polk County sheriff	Florida	republican	a "Sun-Sentinel" editorial
__half-true__3 , 	Says Alex Sink supported more taxes on water and TV.	taxes	national-republican-congressional-committee			republican	a campaign commercial
__half-true__3 , 	The average time someone used to hold a share of stock back in the 60s was eight years. Now, the average time is four months.	corporations,economy,wealth	mark-warner	U.S. Senator	Virginia	democrat	a radio interview.
__half-true__3 , 	While fat-cat bureaucrats at the Department of Education are getting paid an average salary of $102,000 a year, teachers in Georgia are getting paid half of that.	education,federal-budget	paul-broun	Congressman	Georgia	republican	a press release
__half-true__3 , 	Says Donald Trump spent the least amount of money of any of the competitive primary contenders that he beat so badly.	campaign-finance,elections	michael-caputo	Adviser	New York	republican	an interview on Capital Tonight, Time Warner Cable News.
__half-true__3 , 	Theres 21 congressmen and senators that have been convicted of felonies that still get their retirement, even in jail. They dont have to wait until theyre 65.	congress,crime,pensions,retirement	jesse-ventura	Author	Minnesota	independent	an interview on MyCentralJersey.com
__half-true__3 , 	Polls show Americans are overwhelmingly opposed to Obamacare, especially the individual mandate.	health-care	rick-santorum		Pennsylvania	republican	an op-ed in "U.S. News & World Report"
__half-true__3 , 	McCain lobbied for (a) $10-million pork project honoring conservative justice.	federal-budget	barack-obama	President	Illinois	democrat	a campaign e-mail to reporters
__half-true__3 , 	The water quality in the ocean is perfect. Its been tested up and down every ocean shore in New Jersey.	environment,water	chris-christie	Governor of New Jersey	New Jersey	republican	a press conference at Point Pleasant Beach
__half-true__3 , 	Almost 400 arrests in the city last year for panhandling-related offenses involved just 78 suspects, an indication that the same people are panhandling over and over.	crime,urban	michael-julian-bond			none	Atlanta City Council meeting
__half-true__3 , 	We had the Democratic Governors Association and the Obama political machine come into a Republican primary to try and rig the election by spending $1 million against me in the last couple of days.	campaign-finance	eric-greitens	gubernatorial candidate	Missouri	republican	an interview on Fox & Friends
__half-true__3 , 	Says North Carolina is home of the largest military installations in the world.	homeland-security,military,patriotism,states	north-carolina-republican-party		North Carolina	republican	a roll call at the Republican National Convention
__half-true__3 , 	In Libya, America spent $2 billion total and didnt lose a single life.	military,new-hampshire-2012	joe-biden	U.S. senator	Delaware	democrat	a talk at Plymouth State University in Plymouth, N.H.
__half-true__3 , 	If you look at the income of average Americans...theyre absolutely flat in constant dollars since 1979.	income,workers	don-beyer	8th District congressional candidate	Virginia	democrat	a speech.
__half-true__3 , 	Marco Rubio has the No. 1absentee record in the United States Senate.	voting-record	donald-trump	President-Elect	New York	republican	a GOP debate hosted by Fox
__half-true__3 , 	The rate in which people are working (in Wisconsin) is almost five points higher than it is nationally.	jobs,labor,states	scott-walker	Milwaukee County Executive	Wisconsin	republican	a debate
__half-true__3 , 	ISISsends out 90,000 social (media)messages a day.	islam,terrorism	hillary-mann-leverett			none	an interview on CNN
__half-true__3 , 	Emergency rooms account for 2 percent of all health care spending.	health-care,pundits	nick-gillespie	Editor of Reason.com	Washington, D.C.	none	a discussion on CNN's "Crossfire"
__half-true__3 , 	Oil companies showered regulators (at the Minerals Management Service) with gifts and favors, and were essentially allowed to conduct their own safety inspections and write their own regulations.	corporations,energy,environment,ethics,government-efficiency,oil-spill,market-regulation	barack-obama	President	Illinois	democrat	a speech from the Oval Office
__half-true__3 , 	Theres pretty much no question that [the curfew ordinances] arent effective in either reducing crime or preventing harm to young people.	criminal-justice	mike-males	Researcher, Center on Juvenile and Criminal Justice		none	an article 
__half-true__3 , 	Nathan Deal saved the HOPE scholarship program.	education	zell-miller		Georgia	none	television ad
__half-true__3 , 	Today, the United States has, sadly, one of the lowest voter turnouts of any major country on earth.	elections	bernie-s	U.S. Senator	Vermont	independent	a campaign speech
__half-true__3 , 	Rubio admitted he "would have accepted the stimulus money."	economy	charlie-crist		Florida	democrat	a news release
__half-true__3 , 	Ive cut taxes for ... middle-class families, small businesses.	taxes	barack-obama	President	Illinois	democrat	a speech at the Democratic National Convention in Charlotte, N.C.
__half-true__3 , 	Mortgage fraud is up 400 percent in the last five years.	financial-regulation,housing	pam-bondi		Florida	republican	a Bay News 9/CFN 13 debate.
__half-true__3 , 	Bill Clinton invited him (the Rev. Wright) to the White House when he was having his personal crises.	candidates-biography	barack-obama	President	Illinois	democrat	Philadelphia
__half-true__3 , 	Says Fulton County government hasnt raised its millage rate since 1991.	taxes	john-eaves	Fulton County Board of Commissioners Chairman	Georgia	democrat	an interview
__half-true__3 , 	Under Obamacare, premiums have doubled and tripled in Wisconsin.	health-care	ron-johnson		Wisconsin	republican	a debate
__half-true__3 , 	We have seen hate crimes skyrocket in the wake of the immigration debate.	legal-issues	barack-obama	President	Illinois	democrat	a debate in Austin, Texas.
__half-true__3 , 	$50,000. Thats what every child owes today because Washington politicians have run up a huge spending tab and left our kids the bill.	debt	frank-guinta	U.S. Congress, NH-First District	New Hampshire	republican	a television ad, Future.
__half-true__3 , 	The Convention Center was sold as a building that would never cost taxpayers a dime.	deficit,economy,history,state-budget,state-finances	patricia-morgan	Financial adviser	Rhode Island	republican	a news conference
__half-true__3 , 	Says about NSA data collection: Every member in both parties who served on the Intelligence Committee voted in favor of this.	civil-rights,congress,homeland-security,privacy,terrorism	tom-cole		Oklahoma	republican	an MSNBC interview
